system,density,basis,N_grid,mode,mu_start,eig_transform,prefactor,value
He,HF,aug-cc-pVQZ,129,spherical_full,3,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,129,spherical_full,4,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,129,reduced,3,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,129,reduced,4,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,129,spherical_full,3,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,129,spherical_full,4,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,129,reduced,3,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,129,reduced,4,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,257,spherical_full,3,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,257,spherical_full,4,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,257,reduced,3,sqrt,0.5,0.0
He,HF,aug-cc-pVQZ,257,reduced,4,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,257,spherical_full,3,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,257,spherical_full,4,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,257,reduced,3,sqrt,0.5,0.0
He,CCSD,aug-cc-pVQZ,257,reduced,4,sqrt,0.5,0.0
Be,HF,aug-cc-pCVQZ,33,spherical_full,3,sqrt,0.5,2.6467129991700253
Be,HF,aug-cc-pCVQZ,33,spherical_full,4,sqrt,0.5,2.50604264313976
Be,HF,aug-cc-pCVQZ,33,reduced,3,sqrt,0.5,2.646713024005294
Be,HF,aug-cc-pCVQZ,33,reduced,4,sqrt,0.5,2.5060426530738673
Be,CCSD,aug-cc-pCVQZ,33,spherical_full,3,sqrt,0.5,2.671717271208763
Be,CCSD,aug-cc-pCVQZ,33,spherical_full,4,sqrt,0.5,2.5277699772268534
Be,CCSD,aug-cc-pCVQZ,33,reduced,3,sqrt,0.5,2.6717172563076015
Be,CCSD,aug-cc-pCVQZ,33,reduced,4,sqrt,0.5,2.5277699821939072
Be,HF,aug-cc-pCVQZ,65,spherical_full,3,sqrt,0.5,2.681035688146949
Be,HF,aug-cc-pCVQZ,65,spherical_full,4,sqrt,0.5,2.5390843686958156
Be,HF,aug-cc-pCVQZ,65,reduced,3,sqrt,0.5,2.6810357080151634
Be,HF,aug-cc-pCVQZ,65,reduced,4,sqrt,0.5,2.5390843811134496
Be,CCSD,aug-cc-pCVQZ,65,spherical_full,3,sqrt,0.5,2.70659692864865
Be,CCSD,aug-cc-pCVQZ,65,spherical_full,4,sqrt,0.5,2.561320388689637
Be,CCSD,aug-cc-pCVQZ,65,reduced,3,sqrt,0.5,2.7065969314426175
Be,CCSD,aug-cc-pCVQZ,65,reduced,4,sqrt,0.5,2.5613204023490344
Li,HF,aug-cc-pCVQZ,33,spherical_full,3,sqrt,0.5,1.2658057088653245
Li,HF,aug-cc-pCVQZ,33,spherical_full,4,sqrt,0.5,1.1163155206789572
Li,HF,aug-cc-pCVQZ,33,reduced,3,sqrt,0.5,1.2658057138323784
Li,HF,aug-cc-pCVQZ,33,reduced,4,sqrt,0.5,1.1163155181954303
Li,CCSD,aug-cc-pCVQZ,33,spherical_full,3,sqrt,0.5,1.2660423417886097
Li,CCSD,aug-cc-pCVQZ,33,spherical_full,4,sqrt,0.5,1.1155856816718974
Li,CCSD,aug-cc-pCVQZ,33,reduced,3,sqrt,0.5,1.2660423417886097
Li,CCSD,aug-cc-pCVQZ,33,reduced,4,sqrt,0.5,1.1155856779466071
Li,HF,aug-cc-pCVQZ,65,spherical_full,3,sqrt,0.5,1.265512046093742
Li,HF,aug-cc-pCVQZ,65,spherical_full,4,sqrt,0.5,1.115484312797586
Li,HF,aug-cc-pCVQZ,65,reduced,3,sqrt,0.5,1.2655120523025591
Li,HF,aug-cc-pCVQZ,65,reduced,4,sqrt,0.5,1.115484312797586
Li,CCSD,aug-cc-pCVQZ,65,spherical_full,3,sqrt,0.5,1.2657362533112366
Li,CCSD,aug-cc-pCVQZ,65,spherical_full,4,sqrt,0.5,1.114773911734422
Li,CCSD,aug-cc-pCVQZ,65,reduced,3,sqrt,0.5,1.265736252069473
Li,CCSD,aug-cc-pCVQZ,65,reduced,4,sqrt,0.5,1.1147739117344222
